2019-09-15 16:03		5分	游客没用填写买票情况      	XinVCherish		广西值得去的地方，每个季节都不一样。
2019-09-01 09:22		4分	龙脊梯田门票 双人票      	_WeCh****788967		景色不错，道路提示不醒目，有待改进。
2019-08-31 06:11		5分	龙脊梯田门票 双人票      	136****0119		翠绿的梯田不亚于阿尔卑斯山脉的富内斯山谷大草甸，呵呵，美在眼前，何必远方。
2019-08-30 20:17		2分	龙脊梯田门票 成人票      	终极无间8		进门门票，到景点停车都要收费，金坑寨上去坐索道成人往返100，价格虚高，平安寨到点就围着车收费，坐电瓶车还要钱，感觉到处都是坑，商业氛围太浓，不推荐！
2019-08-30 17:16		5分	龙脊梯田门票 成人票      	海纳百川		非常漂亮了，有机会再去，建议索道上行，然后步行下山。边走边游玩。
2019-08-30 11:28		5分	龙脊梯田门票 成人票      	M30****506		龙脊梯田太刺激了，小孩子特喜欢，玩的不亦乐乎，但是要保护好眼镜，容易丢到水里，到时候想找都找不着，呵呵！
2019-08-29 22:40		5分	龙脊梯田门票 成人票      	M17****129		自驾很方便，取票也很方便，取好打小票就可以自驾进入景区了。景色很美，空气含量很高，住一晚的话有更好的体验！
2019-08-28 22:08		4分	龙脊梯田门票 成人票      	_WeCh****329971		不错，景色优美，金坑梯田3个观景点都去了，走了一天，缆车下山，进梯田那段山路不好走，路烂，又窄，错车都不好错
2019-08-28 21:58		5分	龙脊梯田+景区内接驳+专线车票 成人票      	查谟齐桓公		很不错，整体还是很负责任的，态度也很好
2019-08-28 21:16		5分	龙脊梯田门票 双人票      	pxy****zy		龙脊梯田很漂亮，就是山路不好走，因为时间关系只去了2号观景台，但觉得很美，绿油油的，估计秋天真的很漂亮。
2019-08-28 16:57		5分	龙脊梯田+景区内接驳+专线车票 成人票      	M26****3417		2019-08-27 20:12		4分	龙脊梯田门票 成人票      	_WeCh****414690		景色优美，只是吃饭有些贵，停车要收费，表演也要另外收费。
2019-08-27 15:02		4分	游客没用填写买票情况      	乖乖兔的长耳朵		要爬山上去，没有宣传图片里的美，雾蒙蒙的
2019-08-26 21:42		4分	龙脊梯田+景区内接驳+专线车票 成人票      	170****381		这个景点没有想象的那么好，全程缆车上下。
2019-08-26 17:40		5分	龙脊梯田+景区内接驳+专线车票 成人票      	M31****8339		服务态度好，很热情，很到位！非常棒！！
2019-08-26 05:42		5分	游客没用填写买票情况      	M22****6708		很美的地方，能吃到竹筒饭，坐在高山上吃着竹筒饭看着梯田很惬意
2019-08-25 23:10		5分	龙脊梯田门票 成人票      	M32****7025		风景真的好美，拍一组民族照更美
2019-08-25 18:28		5分	游客没用填写买票情况      	芷墨禾		我是大热天8月去的，太热了。这里一年四季都有景色，可以在4、5月份去，那个时候天气舒爽，可以爬上去。我们去的时候也是爬上去的，一家三口，那个汗一滴一滴的往下滴，女儿五岁半居然自己爬上去了，太难得了。站在上面往下看，梯田的壮丽美景尽收眼底。
2019-08-25 17:43		5分	龙脊梯田+景区内接驳+专线车票 成人票      	M24****1996		导游十分友好，安排得当，十分满意！
2019-08-25 15:52		5分	龙脊梯田+景区内接驳+专线车票 成人票      	135****0205		省心放心，提前告之更多信息会更好
2019-08-25 10:10		4分	游客没用填写买票情况      	yhj****5302		山景田景还行，比较喜欢的是他们少数民族居住的寨子和山路，比较有味道。当然，走阶梯小道很费体力。
2019-08-25 09:41		4分	游客没用填写买票情况      	豆爸516		龙脊梯田，位于广西龙胜各族自治县龙脊镇平安村龙脊山，是全球重要农业文化遗产。梯田分布在海拔300米至1100米之间，开车沿着盘山公路一直向上，到梯田时海拔达到800米以上，能看到山谷中的浮云。山上有民宿客栈，可以住宿。
2019-08-25 08:11		1分	龙脊梯田门票 成人票      	M27****314		交了80元，还要开一个多小时上路去坐缆车100元&#x2F;人，不值得
2019-08-25 00:43		5分	龙脊梯田门票 成人票      	180****5599		景色怡人，空气好，就是太远了，值得一去，有机会还想去一次看看不同季节的景色，村子里的饭菜都很好吃，还有水果
2019-08-24 15:19		4分	龙脊梯田门票 成人票      	seraph		梯田景色很美，交通不行。最佳拍摄地点都有人入驻。
2019-08-24 09:02		5分	游客没用填写买票情况      	Jennifer		秋天去看龙脊梯田，从山上往下看，一片金黄，景色很美。
2019-08-23 21:42		4分	游客没用填写买票情况      	-Bonjour-		龙脊梯田—距离桂林85公里左右，整个景区由多个寨子组成，山路崎岖，小客车可以开入景区，景区是24小时都可以进去的,很方便，停车费10块，过夜20，最好看的时间在4月中旬到5月中旬放水的时间，到中秋节前后是金黄色的，其余时间是绿油油的！喜欢摄影的朋友还是放水的时间来最好。
2019-08-23 17:11		5分	龙脊梯田门票 双人票      	天蝎教主		特别好&#x20;特别满意&#x20;观景台很震撼&#x20;跟值得！
2019-08-23 17:07		5分	龙脊梯田+景区内接驳+专线车票 成人票      	_ucwe****336108		导游服务热情周到，地方特色介绍详尽，民间风俗提前讲解告知，始终耐心温和……
2019-08-23 12:51		5分	游客没用填写买票情况      	宝宝宝宝贝		除了走的有点累、&#x20;&#x20;风景是真的相当好
2019-08-23 11:24		5分	龙脊梯田门票 双人票      	棹云以为舟		景区里可以自行开车上山，盘山路修的还可以。缆车真的很多人，一进停车场有个大姐一直跟着说可以带去另一个观景台，收费100。特地问了景区的工作人员，然而人家并不愿意告诉你。不想等最后还是去了，就是在岔路上走另一条路。景区如果把指示牌做的清晰点完全可以自己开过去，可能是想给当地人创收吧。。梯田还是很壮美的，整个景区也很大，如果有时间可以住上一天深度体验一下。
2019-08-23 10:20		4分	龙脊梯田门票 成人票      	zxjfu790516		景区秩序良好，卫生良好，索道管理很成熟有序，景色秀美壮丽，值得打卡
2019-08-23 09:35		5分	龙脊梯田门票 双人票      	_WeCh****99988		盘山公路山路十八弯，上山路走的大汗淋漓，上了山风景秀美，下个月稻子成熟了应该更美。金佛顶有人卖索道票便宜
2019-08-22 22:03		5分	龙脊梯田门票 成人票      	201****795		网上订购了，还剩了2元。正好有个券，去售票大厅找特殊购票柜台兑换，然后进景区验票即可，人并不是很多。
2019-08-22 12:49		4分	龙脊梯田门票 成人票      	_WeCh****05228		就是太热了，太阳直晒，感觉要中暑，景色很美
2019-08-21 23:25		5分	龙脊梯田门票 成人票      	205****905		很美很美，非常好地方，多住几晚最好，龙脊梯田你来了不回后悔的
2019-08-21 18:21		5分	龙脊梯田门票 成人票      	飘儿yh		夏日骄阳似火，绿油油的禾苗随着微风翻卷着道道绿波，在这里凡是能开垦的地方都开凿成了梯田，勤劳智慧的壮族、瑶族人民祖祖辈辈开垦出来的。瑶寨，壮寨，龙脊梯田；山美，水甜，美食难忘！
2019-08-21 15:39		4分	游客没用填写买票情况      	怀念大鱼大肉		我们去的时候高速还没有通，桂林过来还花了几个小时，不过真是值得呀，你看到那些层层叠叠的梯田，不由得感慨楞个辛苦都有在这个山区种水稻，人定胜天。
2019-08-21 06:50		5分	游客没用填写买票情况      	温柔小鳄		看龙脊梯田一定要去平安寨，去平安寨，去平安寨。这里景色震撼而且寨子里的人更好，我家属的手机掉在当地人开的转场车上了，司机罗汉威师傅不仅打电话通知我们的旅行团司机而且考虑到我们已经下山调头回来不容易，专门骑摩托车下山送给我们，还拒绝了我们的一切谢意，纯朴善良的壮族兄弟。这里的这里的这里的（希望大家能明白只有这里的）人都很善良朴实，没有过度商业化，不象有些景区下车后就一堆人围着你吵吵，这里的价格也很公道，非常值得来，非常推荐罗师傅。
2019-08-21 06:43		5分	游客没用填写买票情况      	139****2267		大自然鬼斧神工人的力量想象无比强大!太美了!
2019-08-21 06:25		5分	游客没用填写买票情况      	_WeCh****35127		值得一去，就是太远，体会一下少数名族的生活
2019-08-20 22:03		5分	游客没用填写买票情况      	温柔小鳄		看龙脊梯田，一定要去平安寨，去平安寨，去平安寨，说了三遍哟。景色超震撼，除了九龙五虎和七星伴月两个观景台，在从九龙五虎去七星伴月观景台的中央还有一个点，感觉对面的青山都要扑过来了。那里面的平安壮寨也值得一看，人流量适中，不用排队，并且当地人非常和善，没有被商业化，一点不象别的景区到哪儿都是一群人围着你，这里的商摊也只是静静地看着你，轻声吆喝一两句，让你很舒服，自然而然地想买点小东西，价格也公道。
2019-08-20 19:21		4分	龙脊梯田+景区内接驳+专线车票 成人票      	_WeCh****151349		景点一般，没什么好看的，导游服务态度还好。
2019-08-20 17:58		3分	龙脊梯田门票 成人票      	易米呈宝宝		这个门票感觉收得太贵，因为里面的大寨停车也要钱。自驾的话其时只是借道上山而已，而且有一些路段比较差，坑坑洼洼。
2019-08-20 07:20		5分	游客没用填写买票情况      	涛空了		龙脊特别漂亮，值得一去，美味很多，日出很赞
2019-08-19 16:45		5分	龙脊梯田+景区内接驳+专线车票 成人票      	M22****6520		杨够友很耐心很细心。整个行程井然有序。而且普通话特别棒！
2019-08-19 16:43		5分	龙脊梯田+景区内接驳+专线车票 成人票      	Z小用		这次出行龙脊梯田，张导游的工作做的很好！
2019-08-19 15:38		3分	龙脊梯田门票 成人票      	引露		超级无敌坑钱……这样的地方属于不去遗憾&#x20;&#x20;去了后悔&#x20;&#x20;百度上查查图片就好了
2019-08-19 11:54		5分	龙脊梯田门票 成人票      	gogoclf		不错，一路上很美，司机师傅辛苦了
2019-08-19 10:15		5分	龙脊梯田门票 成人票      	e16****15		不错哦，我们只去了金坑和平安两个寨子，住在平安寨，挺好，可以到处逛逛转转
2019-08-19 07:22		3分	龙脊梯田门票 成人票      	202****930		一个人80块，之前看评论还以为每车80
2019-08-18 20:30		5分	龙脊梯田门票 成人票      	137****6430		好大一片，佩服当地人民的智慧勇敢，在山上开辟出良田！
2019-08-18 17:44		5分	龙脊梯田门票 成人票      	LW01104		很好很好很好很好很好很好很好很好很好
2019-08-18 17:14		4分	龙脊梯田门票 双人票      	M20****458		其实现场买票更方便，网上买了也要去取票
2019-08-18 16:55		5分	龙脊梯田+景区内接驳+专线车票 成人票      	M34****7036		景点漂亮，张导游非常好，第一次在携程上定旅游，好好好
2019-08-18 10:34		5分	龙脊梯田门票 成人票      	M32****8298		方便，快捷，不用排队。15个字了。
2019-08-18 01:09		5分	龙脊梯田门票 成人票      	M22****4790		金坑寨才是大寨，可以开车上去的，大界千层天梯才是宣传册上的梯田，直接搜索大界千层天梯导航上去，田头寨路口进去5分钟，下车走路2分钟就到了！
2019-08-18 01:04		5分	龙脊梯田门票 成人票      	M22****4790		开车可以直接到山顶，搜索大界千层天梯，往田头寨走就到了！如果需要换票就去龙脊梯田售票中心去换，自驾一定要有车辆通行票，网上买有包含，不要听导游的去坐索道缆车，而且缆车到的梯田不是最好的风景！广告上的梯田是千层梯田！开车直接上山顶，走路2分钟就到了！大界千层天梯就是宣传图册上的梯田，非常美！秋天去更美！
2019-08-17 21:20		5分	龙脊梯田门票 成人票      	_YX1****534		很不错，景色很美！！！！！！！
2019-08-17 19:29		4分	龙脊梯田门票 成人票      	今朝有酒醉123		风景还是蛮可以的现在都还是全绿色。以后有机会再去玩耍一下。，哈哈哈。
2019-08-17 18:58		3分	龙脊梯田门票 双人票      	205****812		一般般，也就那样…？！！！！哈哈
2019-08-17 16:06		5分	龙脊梯田+景区内接驳+专线车票 成人票      	M46****926		导游很敬业，讲解很详细，时间安排很合理。
2019-08-16 21:36		5分	龙脊梯田门票 成人票      	Gufangwj		携程买票优惠了五元，取票比较方便，总体来说体验比较好，值得推荐
2019-08-16 17:38		5分	龙脊梯田+景区内接驳+专线车票 成人票      	奇兰苏秦		整个流程非常优秀，桂林景色很好看。潘导也很负责，非常有时间观念，包括对于下车后去哪里吃东西，之后的自己的行程也很熟悉
2019-08-15 23:05		5分	游客没用填写买票情况      	诺伊豪森王仙芝		这里的龙脊梯田，猛的一看确是壮观的景色。让人眼睛一亮，不舍得眨眼，走过山路十八弯、路过小河流水、看到眼前景色、不枉此行。
2019-08-15 16:13		3分	龙脊梯田门票 双人票      	米多崔		只看了金坑寨，很美很累，在一号走到三号，累完了，在网上订好了票80一人，结果到门口问说学生票40一人。
2019-08-15 14:50		4分	龙脊梯田门票 双人票      	淮阴武侯		梯田景色不错，特别是对于城里人还是不错的。问题是路上时间太长了。中午一点多桂林北上车，一个小时后到桂林站附近才上大巴。五点多到大寨转乘点。酒店说有车接。那就等呀等，等呀等，两小时后上车。到了下车点才知道要付费。靠，要付费我直接坐其他车走了，还等你两小时！这还没完，下车那里还没到酒店，还要爬好几百米沙石路的山坡，行李只能出钱让人抬上去。第二天走的时候，十点多离开酒店，一路算比较顺利，三点二十才到桂林站。不让收费，就怕你含含糊糊不说清楚。总体不能说不愉快，但路上这行程太折腾人了
2019-08-14 21:39		5分	龙脊梯田门票 成人票      	jlzcglbh		老人孩子门票都有优惠，挺不错的，登顶后看梯田很壮观。暑假坐缆车人很多，如果体力好可以爬上爬下,比缆车还会快，不是很高的。
2019-08-14 15:35		5分	龙脊梯田门票 成人票      	yyyyyyyyjj		感觉非常好玩，玩得挺开心的，很值得一去！
2019-08-14 12:48		1分	龙脊梯田门票 成人票      	186****4644		别去了，路很烂，到处是坑，吃的东西也垃圾。
2019-08-13 17:06		3分	龙脊梯田门票 双人票      	M34****4027		电子票是没有纸质票的，只能凭一张小单子进去。&#x0D;建议大家直接买直达大寨停车场的专线车，到景区门口会有售票员上车来售票，不用下车。如果网上订票还需要自己去售票厅换小票，很不方便。&#x0D;景区虽然包含了几个寨子，但时间不够，体力不足的建议逛一个寨子就行了。&#x0D;我们中午到大寨停车场，住在半山腰，下午爬山上了金佛顶，然后再步行下山，没坐缆车，这么一趟下来觉得也还好。本来就是广西人，对梯田也没有很大的期待，觉得一般般。如果要走完所有的寨子，很费时费力，所以没有走完。
2019-08-12 16:38		5分	龙脊梯田+景区内接驳+专线车票 成人票      	M23****5475		导游很好，环境也不错，服务态度很好
2019-08-12 08:55		5分	游客没用填写买票情况      	kid****ma		景色宜人，现在景区管理也比以前好了，值得一去。
2019-08-12 03:13		2分	龙脊梯田+景区内接驳+专线车票 成人票      	E35****84		这次行程让人郁闷，本以为真的是纯接送游玩，哪里知道是跟着一个一日游的散团游玩，本来计划在梯田游玩的时间被大大的压缩，整个下午都被带去其他地方，与宣传大大不相符，商家有**之嫌！大家购买时一定看仔细了！
2019-08-11 21:59		5分	游客没用填写买票情况      	點點		景色宜人，去的时候天气也好，登高望远风景秀丽，层层叠叠的梯田，很是壮观
2019-08-11 15:24		5分	龙脊梯田门票 成人票      	青河卫青		携程买票很快，就是还要跑进去验证一次，在路边不下车直接放行就更好了。整体风景还是很不错，吃的价格也公道，没有发现宰客现象。
2019-08-11 15:14		5分	龙脊梯田门票 成人票      	M92****42		很壮观，下次要在里面住一夜，才能感受到更多更好的民风与美景！
2019-08-11 13:55		1分	龙脊梯田门票 双人票      	大牛牛牛牛		自驾进去的，本来是可以车直接开到平安寨观景台。但是村民们自设路卡，不让上车，强迫停到私设的停车场，交完停车费再交钱40一人坐他们的车到观景台。垃圾一般的景区管理。
2019-08-11 11:31		4分	龙脊梯田+景区内接驳+专线车票 成人票      	M29****006		我们住阳朔，这个是只从桂林出发的，最后是我们自己联系酒店老板坐车去的
2019-08-11 08:28		2分	龙脊梯田门票 成人票      	丹嫩沙多克里斯蒂娜		从桂林自驾过去，来回5小时，排队坐缆车上去，花了2个多小时，上去后就暴雨，看了一个小时，下山缆车排队1小时。这个过程是崩溃的，风景大家看看图片。如果确实要坐缆车建议下山不要坐，由于我们是大雨加上老人孩子。下山走下去40分钟。
2019-08-10 22:54		4分	游客没用填写买票情况      	M28****162		所谓的景区层层收费，进入景区门后要开车23公里才到梯田区还要付钱坐缆车上山，稻苗已经长高了，看到就是一片绿色，很一般
2019-08-10 20:37		4分	龙脊梯田门票 双人票      	_WeCh****87478		咋一看，真的很震撼，游玩了金坑的1.2.3.号观景台，个人感觉三处大同小异。3号观景台距离1.2.号大概一个多小时脚程。从3号包车去田头寨停车场(去三处基本都要从这中转)大概200块。
2019-08-10 19:22		5分	游客没用填写买票情况      	M49****619		龙脊梯田，中国最有名的梯田景观之一，身临其境，你不得不感叹它的壮观，古代先民为了在这片山地生存下来，改造自然，发明了梯田，也形成了这道美丽的风景。
2019-08-10 17:34		1分	龙脊梯田门票 成人票      	_WeCh****743992		太坑人了吧！买了门票之后自驾上山，平安梯田中途不给进要到收费停车场停车，然后转乘30大洋一人的电瓶车上去不然就要走一个小时！这时一大堆人上来围着说坐他的私车￥20&#x2F;人！！我明明都开车上来了为什么途中不给开还得坐你们的车？？而且游客也不是很多！金坑梯田只能坐￥100&#x2F;人的破旧缆车上山顶排队要两个钟，山顶上面也没什么好看的都在卖东西&#x20;逛了一个钟又下去了。超级无聊门票还收那么贵！
2019-08-10 17:31		5分	龙脊梯田+景区内接驳+专线车票 成人票      	E19****92		潘狗肉是个好导游！全程尽心尽责！潘狗肉是个好导游！全程尽心尽责！潘狗肉是个好导游！全程尽心尽责！潘狗肉是个好导游！全程尽心尽责潘狗肉是个好导游！全程尽心尽责！潘狗肉是个好导游！全程尽心尽责！潘狗肉是个好导游！全程尽心尽责！
2019-08-09 21:36		5分	龙脊梯田门票 成人票      	_YX1****527		值得一看，龙脊梯田有几百年的历史了。建议先网上购票，到地方就直接取票走人去看风景，省时间。不方便的是，网上不能购儿童票。且门票和缆车票不在同一个地方，开车过去基本要一个小时，不过山上停车场收费是良心价！有体力的话建议走上去，带小孩的话建议坐车上山，下山走下去，观看一路好风景。
2019-08-09 14:20		5分	龙脊梯田门票 成人票      	M34****4765		很满意，去金佛顶观景台很近，去其他两个观景台也不远，老板也很不错，之后去的话，还会选择这家。老板会接送我们上下山，我们下车的地方要到当地居住的地方，还有一段路，老板会开车来接，走的话，也会开车送的。非常感谢！
2019-08-08 19:17		5分	龙脊梯田+景区内接驳+专线车票 成人票      	_CFT01****2974142		非常开心的一次游玩，导游很棒！
2019-08-08 15:52		5分	龙脊梯田+景区内接驳+专线车票 成人票      	M22****287		很开心，很惬意的一次旅行！谢谢杨导！
2019-08-08 08:36		3分	龙脊梯田门票 成人票      	开心ZZH		去的那天太热，带着两个老人一个小孩，所以买了索道往返票，说真这样游玩没啥意思，如果天气凉爽买上的就行，下来慢慢逛才有意思。不过坐索道的人非常多，排队通常超过两小时……还有进金坑梯田的路不太好走，路烂、窄！车多，会车经常要停下来等，太痛苦了！下次如果还去果断选择平安梯田，这次纯属凑热闹……
2019-08-07 16:41		5分	龙脊梯田+景区内接驳+专线车票 成人票      	M24****9478		潘导一路陪行非常好，给满分
